date_time,Coast,East,Far West,North,North Central,South,South Central,West
2021-06-20 00:00:00,15496.585822,1844.864322,4437.759808,900.423997,15404.463467,4282.240471,8461.881314,1401.02243
2021-06-20 01:00:00,14622.840471,1757.27154,4341.203661,845.000361,14370.301309,4048.212017,7835.487234,1318.200005
2021-06-20 02:00:00,13909.687697,1661.869145,4285.464041,797.783747,13440.555144,3845.895268,7293.041358,1245.693063
2021-06-20 03:00:00,13362.433141,1576.931295,4214.340225,765.208238,12789.724769,3683.645173,6874.070683,1196.356835
2021-06-20 04:00:00,12901.155907,1516.699681,4158.150465,739.716088,12291.095402,3566.235617,6555.966872,1160.17601
2021-06-20 05:00:00,12546.024549,1471.354847,4130.91981,721.942578,12041.755064,3477.813634,6389.615991,1137.133655
2021-06-20 06:00:00,12379.103668,1459.476586,4098.227923,713.805921,11917.986282,3434.475856,6324.567617,1125.679194
2021-06-20 07:00:00,12226.923965,1445.836036,4065.711907,704.437848,11794.868874,3404.050981,6298.632039,1125.111554
2021-06-20 08:00:00,12571.72459,1520.475691,4054.541553,737.317983,12244.586425,3417.599381,6395.870528,1144.454331
2021-06-20 09:00:00,13479.201819,1666.57953,4153.053921,806.713583,13561.98902,3617.220624,6915.106433,1227.50596
2021-06-20 10:00:00,14549.587696,1826.305369,4260.371021,885.847871,14990.997062,3862.825337,7543.944832,1329.921655
2021-06-20 11:00:00,15729.580472,1963.364656,4355.819216,957.08944,16393.312572,4136.472519,8259.586084,1416.080515
2021-06-20 12:00:00,16690.827264,2106.73852,4510.061247,1019.899631,17729.557249,4407.26672,8950.27846,1503.263689
2021-06-20 13:00:00,17200.92845,2218.035928,4618.365516,1076.86049,18877.390164,4640.978065,9548.63514,1587.350794
2021-06-20 14:00:00,17673.030107,2302.701514,4725.682569,1128.287597,19821.462995,4851.910088,10010.106857,1669.833738
2021-06-20 15:00:00,17727.47159,2388.353602,4827.189759,1164.429728,20457.894486,5025.513166,10288.440487,1729.782747
